Dates;Destination;Group;Period;Price;Regio;Status;min_price
['01.02.2020', '04.02.2020'];Teneriffa Süd;kurzurlaub;2020-02;73;Europe Spain;26/10/2019;73
['01.02.2020', '06.02.2020'];Barcelona;staedtereisen;2020-02;66;Europe Spain;09/10/2019;50
['01.02.2020', '07.02.2020'];New York;last-minute;2020-02;233;USA East;23/01/2020;223
['01.02.2020', '08.02.2020'];Newark;last-minute;2020-02;215;USA East;25/01/2020;205
['01.02.2020', '11.02.2020'];Jacksonville Florida;fernreisen;2020-02;270;USA East;07/10/2019;10
['01.02.2020', '15.02.2020'];Jacksonville Florida;fernreisen;2020-02;253;USA East;18/10/2019;10
['01.02.2020', '15.02.2020'];Los Angeles;last-minute;2020-02;281;USA West;23/01/2020;234
['01.02.2020', '15.02.2020'];Miami International;fernreisen;2020-02;253;USA East;18/10/2019;253
['01.02.2020', '20.02.2020'];New York La Guardia;last-minute;2020-02;228;USA East;23/01/2020;211
['01.02.2020', '29.02.2020'];New York La Guardia;last-minute;2020-02;229;USA East;25/01/2020;211
['01.03.2020', '08.03.2020'];Palermo;staedtereisen;2020-03;58;Europe Italy;20/10/2019;27
['01.03.2020', '15.03.2020'];Hongkong;fernreisen;2020-03;317;Asia;25/01/2020;315
['01.03.2020', '15.03.2020'];Hongkong;fernreisen;2020-03;318;Asia;28/01/2020;315
['01.03.2020', '20.03.2020'];Phnom Penh;fernreisen;2020-03;393;Asia;07/12/2019;393
['01.04.2020', '08.04.2020'];Brindisi;staedtereisen;2020-04;40;Europe;08/01/2020;40
['01.04.2020', '30.04.2020'];Denver;fernreisen;2020-04;337;USA;22/10/2019;337
['01.04.2020', '30.04.2020'];Hanoi;fernreisen;2020-04;392;Asia;20/10/2019;390
['01.04.2020', '30.04.2020'];Jacksonville Florida;fernreisen;2020-04;392;USA East;20/10/2019;10
['01.04.2020', '30.04.2020'];Jacksonville Florida;fernreisen;2020-04;337;USA East;22/10/2019;10
['01.05.2020', '05.05.2020'];Edinburgh;kurzurlaub;2020-05;73;Europe;07/12/2019;30
['01.05.2020', '05.05.2020'];Edinburgh;kurzurlaub;2020-05;59;Europe;24/12/2019;30
['01.05.2020', '09.05.2020'];Washington DC;fernreisen;2020-05;369;USA East;08/01/2020;369
['01.05.2020', '12.05.2020'];Hongkong;fernreisen;2020-05;339;Asia;04/10/2019;338
