Dates;Destination;Group;Period;Price;Regio;Status;min_price
['07.08.2020', '22.08.2020'];Abidjan;sommerferien;2020-08;483;Africa;2019-12-08;483
['24.10.2019', '17.11.2019'];Addis Abeba;last-minute;2019-10;346;Africa;22.10.2019;346
['24.10.2019', '17.11.2019'];Addis Abeba;fernreisen;2019-10;346;Africa;22.10.2019;346
['29.10.2019', '17.11.2019'];Addis Abeba;last-minute;2019-10;346;Africa;26.10.2019;346
['29.10.2019', '17.11.2019'];Addis Abeba;fernreisen;2019-10;346;Africa;26.10.2019;346
['31.10.2019', '17.11.2019'];Addis Abeba;last-minute;2019-10;346;Africa;26.10.2019;346
['31.10.2019', '17.11.2019'];Addis Abeba;fernreisen;2019-10;346;Africa;26.10.2019;346
['12.11.2019', '25.11.2019'];Banjul;warme-reiseziele;2019-11;339;Africa;07.10.2019;210
['19.11.2019', '25.11.2019'];Banjul;warme-reiseziele;2019-11;329;Africa;09.10.2019;210
['12.11.2019', '25.11.2019'];Banjul;warme-reiseziele;2019-11;339;Africa;07.10.2019;210
['19.11.2019', '25.11.2019'];Banjul;warme-reiseziele;2019-11;329;Africa;09.10.2019;210
['12.11.2019', '25.11.2019'];Banjul;warme-reiseziele;2019-11;289;Africa;22.10.2019;210
['10.12.2019', '24.12.2019'];Banjul;warme-reiseziele;2019-12;210;Africa;2019-12-08;210
['10.12.2019', '24.12.2019'];Banjul;last-minute;2019-12;210;Africa;2019-12-08;210
['11.10.2019', '16.10.2019'];Djerba;warme-reiseziele;2019-10;221;Africa;07.10.2019;185
['11.10.2019', '16.10.2019'];Djerba;last-minute;2019-10;221;Africa;07.10.2019;185
['25.10.2019', '30.10.2019'];Djerba;last-minute;2019-10;185;Africa;18.10.2019;185
['25.10.2019', '30.10.2019'];Djerba;warme-reiseziele;2019-10;185;Africa;18.10.2019;185
['11.10.2019', '16.10.2019'];Djerba;warme-reiseziele;2019-10;221;Africa;07.10.2019;185
['11.10.2019', '16.10.2019'];Djerba;last-minute;2019-10;221;Africa;07.10.2019;185
['25.10.2019', '30.10.2019'];Djerba;last-minute;2019-10;185;Africa;18.10.2019;185
['25.10.2019', '30.10.2019'];Djerba;warme-reiseziele;2019-10;185;Africa;18.10.2019;185
['07.12.2019', '22.12.2019'];Johannesburg;fernreisen;2019-12;397;Africa;19.10.2019;378
['07.12.2019', '22.12.2019'];Johannesburg;fernreisen;2019-12;397;Africa;19.10.2019;378
['02.12.2019', '23.12.2019'];Johannesburg;fernreisen;2019-12;397;Africa;20.10.2019;378
['07.12.2019', '22.12.2019'];Johannesburg;fernreisen;2019-12;387;Africa;22.10.2019;378
['30.01.2020', '15.02.2020'];Johannesburg;fernreisen;2020-01;378;Africa;26.10.2019;378
['07.12.2019', '22.12.2019'];Johannesburg;fernreisen;2019-12;378;Africa;26.10.2019;378
['21.04.2020', '05.05.2020'];Johannesburg;fernreisen;2020-04;391;Africa;2019-12-08;378
['16.08.2020', '05.09.2020'];Kapstadt;sommerferien;2020-08;508;Africa;07.10.2019;508
['16.08.2020', '05.09.2020'];Kapstadt;sommerferien;2020-08;508;Africa;07.10.2019;508
['04.11.2019', '12.11.2019'];Lusaka;last-minute;2019-11;498;Africa;26.10.2019;498
['04.11.2019', '12.11.2019'];Lusaka;last-minute;2019-11;498;Africa;26.10.2019;498
['03.08.2020', '17.08.2020'];Maputo;sommerferien;2020-08;594;Africa;22.10.2019;594
['03.08.2020', '17.08.2020'];Maputo;sommerferien;2020-08;597;Africa;26.10.2019;594
['03.08.2020', '17.08.2020'];Maputo;sommerferien;2020-08;597;Africa;26.10.2019;594
['15.10.2019', '22.10.2019'];Marrakesch;warme-reiseziele;2019-10;98;Africa;04.10.2019;15
['15.10.2019', '22.10.2019'];Marrakesch;last-minute;2019-10;98;Africa;04.10.2019;15
['15.10.2019', '22.10.2019'];Marrakesch;warme-reiseziele;2019-10;98;Africa;04.10.2019;15
['15.10.2019', '22.10.2019'];Marrakesch;last-minute;2019-10;98;Africa;04.10.2019;15
['07.12.2019', '11.12.2019'];Marrakesch;kurzurlaub;2019-12;15;Africa;26.10.2019;15
['07.12.2019', '11.12.2019'];Marrakesch;kurzurlaub;2019-12;15;Africa;26.10.2019;15
['18.11.2019', '09.12.2019'];Mombasa;fernreisen;2019-11;385;Africa;18.10.2019;380
['09.04.2020', '27.04.2020'];Mombasa;fernreisen;2020-04;404;Africa;19.10.2019;380
['18.11.2019', '09.12.2019'];Mombasa;fernreisen;2019-11;385;Africa;18.10.2019;380
['09.04.2020', '27.04.2020'];Mombasa;fernreisen;2020-04;404;Africa;19.10.2019;380
['27.01.2020', '08.02.2020'];Mombasa;fernreisen;2020-01;406;Africa;20.10.2019;380
['28.10.2019', '04.11.2019'];Mombasa;last-minute;2019-10;387;Africa;22.10.2019;380
['28.10.2019', '04.11.2019'];Mombasa;fernreisen;2019-10;387;Africa;22.10.2019;380
['28.04.2020', '11.05.2020'];Mombasa;fernreisen;2020-04;389;Africa;26.10.2019;380
['28.10.2019', '04.11.2019'];Mombasa;last-minute;2019-10;380;Africa;26.10.2019;380
['28.10.2019', '04.11.2019'];Mombasa;fernreisen;2019-10;380;Africa;26.10.2019;380
['20.03.2020', '28.03.2020'];Mombasa;fernreisen;2020-03;391;Africa;2019-12-08;380
['23.10.2019', '06.11.2019'];Nairobi;last-minute;2019-10;381;Africa;20.10.2019;381
['23.10.2019', '06.11.2019'];Nairobi;fernreisen;2019-10;381;Africa;20.10.2019;381
['04.12.2019', '09.12.2019'];Nairobi;fernreisen;2019-12;390;Africa;26.10.2019;381
['10.03.2020', '24.03.2020'];Sansibar;fernreisen;2020-03;400;Africa;18.10.2019;397
['10.03.2020', '24.03.2020'];Sansibar;fernreisen;2020-03;400;Africa;19.10.2019;397
['10.03.2020', '24.03.2020'];Sansibar;fernreisen;2020-03;400;Africa;18.10.2019;397
['10.03.2020', '24.03.2020'];Sansibar;fernreisen;2020-03;400;Africa;19.10.2019;397
['10.03.2020', '24.03.2020'];Sansibar;fernreisen;2020-03;400;Africa;20.10.2019;397
['11.03.2020', '08.04.2020'];Sansibar;fernreisen;2020-03;398;Africa;22.10.2019;397
['03.03.2020', '16.03.2020'];Sansibar;fernreisen;2020-03;397;Africa;26.10.2019;397
['03.03.2020', '16.03.2020'];Sansibar;fernreisen;2020-03;397;Africa;26.10.2019;397
['13.08.2020', '26.08.2020'];Tunis;sommerferien;2020-08;138;Africa;18.10.2019;138
['13.08.2020', '26.08.2020'];Tunis;warme-reiseziele;2020-08;138;Africa;18.10.2019;138
['28.07.2020', '14.08.2020'];Tunis;sommerferien;2020-07;139;Africa;19.10.2019;138
['28.07.2020', '14.08.2020'];Tunis;warme-reiseziele;2020-07;139;Africa;19.10.2019;138
['13.08.2020', '26.08.2020'];Tunis;sommerferien;2020-08;138;Africa;18.10.2019;138
['13.08.2020', '26.08.2020'];Tunis;warme-reiseziele;2020-08;138;Africa;18.10.2019;138
['28.07.2020', '14.08.2020'];Tunis;sommerferien;2020-07;139;Africa;19.10.2019;138
['28.07.2020', '14.08.2020'];Tunis;warme-reiseziele;2020-07;139;Africa;19.10.2019;138
['28.07.2020', '14.08.2020'];Tunis;sommerferien;2020-07;139;Africa;20.10.2019;138
['28.07.2020', '14.08.2020'];Tunis;warme-reiseziele;2020-07;139;Africa;20.10.2019;138
['28.07.2020', '14.08.2020'];Tunis;sommerferien;2020-07;139;Africa;22.10.2019;138
['28.07.2020', '14.08.2020'];Tunis;warme-reiseziele;2020-07;139;Africa;22.10.2019;138
['13.08.2020', '26.08.2020'];Tunis;sommerferien;2020-08;139;Africa;26.10.2019;138
['26.07.2020', '14.08.2020'];Tunis;warme-reiseziele;2020-07;139;Africa;26.10.2019;138
['28.07.2020', '14.08.2020'];Tunis;sommerferien;2020-07;139;Africa;26.10.2019;138
['28.07.2020', '14.08.2020'];Tunis;warme-reiseziele;2020-07;139;Africa;26.10.2019;138
['28.07.2020', '14.08.2020'];Tunis;warme-reiseziele;2020-07;154;Africa;2019-12-08;138
['28.07.2020', '14.08.2020'];Tunis;sommerferien;2020-07;154;Africa;2019-12-08;138
['29.07.2020', '12.08.2020'];Bali;sommerferien;2020-07;624;Asia;19.10.2019;273
['29.07.2020', '12.08.2020'];Bali;sommerferien;2020-07;624;Asia;19.10.2019;273
['29.07.2020', '12.08.2020'];Bali;sommerferien;2020-07;630;Asia;20.10.2019;273
['30.05.2020', '12.06.2020'];Bali;warme-reiseziele;2020-05;273;Asia;20.10.2019;273
['30.05.2020', '12.06.2020'];Bali;fernreisen;2020-05;273;Asia;20.10.2019;273
['18.08.2020', '25.08.2020'];Bali;sommerferien;2020-08;570;Asia;26.10.2019;273
['21.02.2020', '08.03.2020'];Bangkok;fernreisen;2020-02;372;Asia;04.10.2019;371
['14.02.2020', '23.02.2020'];Bangkok;fernreisen;2020-02;372;Asia;05.10.2019;371
['21.04.2020', '04.05.2020'];Bangkok;fernreisen;2020-04;372;Asia;06.10.2019;371
['09.02.2020', '23.02.2020'];Bangkok;fernreisen;2020-02;371;Asia;07.10.2019;371
['21.02.2020', '08.03.2020'];Bangkok;fernreisen;2020-02;372;Asia;09.10.2019;371
['28.04.2020', '14.05.2020'];Bangkok;fernreisen;2020-04;373;Asia;18.10.2019;371
['01.12.2019', '21.12.2019'];Bangkok;fernreisen;2019-12;373;Asia;19.10.2019;371
['21.02.2020', '08.03.2020'];Bangkok;fernreisen;2020-02;372;Asia;04.10.2019;371
['14.02.2020', '23.02.2020'];Bangkok;fernreisen;2020-02;372;Asia;05.10.2019;371
['21.04.2020', '04.05.2020'];Bangkok;fernreisen;2020-04;372;Asia;06.10.2019;371
['09.02.2020', '23.02.2020'];Bangkok;fernreisen;2020-02;371;Asia;07.10.2019;371
['21.02.2020', '08.03.2020'];Bangkok;fernreisen;2020-02;372;Asia;09.10.2019;371
['28.04.2020', '14.05.2020'];Bangkok;fernreisen;2020-04;373;Asia;18.10.2019;371
['01.12.2019', '21.12.2019'];Bangkok;fernreisen;2019-12;373;Asia;19.10.2019;371
['21.02.2020', '29.02.2020'];Bangkok;fernreisen;2020-02;373;Asia;20.10.2019;371
['01.12.2019', '21.12.2019'];Bangkok;fernreisen;2019-12;373;Asia;22.10.2019;371
['23.02.2020', '12.03.2020'];Bangkok;fernreisen;2020-02;373;Asia;26.10.2019;371
['28.02.2020', '15.03.2020'];Bangkok;fernreisen;2020-02;373;Asia;26.10.2019;371
['28.02.2020', '21.03.2020'];Bangkok;fernreisen;2020-02;371;Asia;2019-12-07;371
['21.02.2020', '08.03.2020'];Bangkok;fernreisen;2020-02;371;Asia;2019-12-08;371
['10.10.2019', '17.10.2019'];Bangkok Don Mueang;last-minute;2019-10;565;Asia;04.10.2019;564
['10.10.2019', '17.10.2019'];Bangkok Don Mueang;last-minute;2019-10;565;Asia;05.10.2019;564
['10.10.2019', '17.10.2019'];Bangkok Don Mueang;last-minute;2019-10;565;Asia;04.10.2019;564
