Destination;Symbol;Regio
Abidjan;Abidjan;Africa
Addis Abeba;Addis Abeba;Africa
Banjul;Banjul;Africa
Djerba;Djerba;Africa
Johannesburg;Johannesburg;Africa
Kapstadt;Kapstadt;Africa
Lusaka;Lusaka;Africa
Maputo;Maputo;Africa
Marrakesch;Marrakesch;Africa
Mombasa;Mombasa;Africa
Nairobi;Nairobi;Africa
Oran;Oran;Africa
Sansibar;Sansibar;Africa
Tunis;Tunis;Africa
Bali;Bali;Asia
Bangkok;Bangkok;Asia
Bangkok Don Mueang;Bangkok;Asia
Beijing International;Beijing;Asia
Cebu;Cebu;Asia
Hanoi;Hanoi;Asia
Hongkong;Hongkong;Asia
Kuala Lumpur;Kuala Lumpur;Asia
Luzon Clark;Luzon Clark;Asia
Macau;Macau;Asia
Manila;Manila;Asia
Perth;Perth;Asia
Phnom Penh;Phnom Penh;Asia
Phuket;Phuket;Asia
Saigon;Saigon;Asia
Seoul;Seoul;Asia
Seoul Incheon;Seoul;Asia
Shanghai Pudong;Shanghai;Asia
Singapur;Singapur;Asia
Taipei;Taipei;Asia
Taipei Songshan;Taipei;Asia
Taschkent;Taschkent;Asia
Calgary;Calgary;Canada
Montreal Pierre Elliott Trudeau;Montreal;Canada
Ottawa;Ottawa;Canada
Toronto;Toronto;Canada
Vancouver;Vancouver;Canada
Athen;Athen;Europe
Birmingham;Birmingham;Europe
Brindisi;Brindisi;Europe
Chania;Chania;Europe
Dublin;Dublin;Europe
Dubrovnik;Dubrovnik;Europe
Edinburgh;Edinburgh;Europe
Eriwan;Eriwan;Europe
Fes;Fes;Europe
Halifax;Halifax;Europe
Hatay;Hatay;Europe
Kalamata;Kalamata;Europe
Karpathos;Karpathos;Europe
Kerry County;Kerry County;Europe
Kiew;Kiew;Europe
Korfu;Korfu;Europe
Kos;Kos;Europe
Kreta Heraklion;Kreta;Europe
Kutaisi;Kutaisi;Europe
Malta;Malta;Europe
Ohrid;Ohrid;Europe
Oslo;Oslo;Europe
Ponta Delgada;Ponta Delgada;Europe
Reykjavik Keflavik;Reykjavik;Europe
Rijeka;Rijeka;Europe
Santorini;Santorini;Europe
Split;Split;Europe
Stockholm Skavsta;Stockholm;Europe
Thessaloniki;Thessaloniki;Europe
Tivat;Tivat;Europe
Trondheim;Trondheim;Europe
Zadar;Zadar;Europe
Biarritz;Biarritz;Europe France
Lyon;Lyon;Europe France
Marseille;Marseille;Europe France
Nantes;Nantes;Europe France
Nizza;Nizza;Europe France
Ancona;Ancona;Europe Italy
Bari;Bari;Europe Italy
Bologna;Bologna;Europe Italy
Cagliari;Cagliari;Europe Italy
Florenz;Florenz;Europe Italy
Girona;Girona;Europe Italy
Lamezia Terme;Lamezia;Europe Italy
Mailand Malpensa;Mailand;Europe Italy
Olbia;Olbia;Europe Italy
Palermo;Palermo;Europe Italy
Pisa;Pisa;Europe Italy
Rom Fiumicino;Rom Fiumicino;Europe Italy
Triest;Triest;Europe Italy
Turin;Turin;Europe Italy
Venedig;Venedig;Europe Italy
Alicante;Alicante;Europe Spain
Barcelona;Barcelona;Europe Spain
Bilbao;Bilbao;Europe Spain
Faro;Faro;Europe Spain
Funchal;Funchal;Europe Spain
Ibiza;Ibiza;Europe Spain
Jerez de la Frontera;Jerez de la Frontera;Europe Spain
Las Palmas;Las Palmas;Europe Spain
Lissabon;Lissabon;Europe Spain
Madrid;Madrid;Europe Spain
Malaga;Malaga;Europe Spain
Mallorca;Mallorca;Europe Spain
Porto;Porto;Europe Spain
Sevilla;Sevilla;Europe Spain
Teneriffa Süd;Teneriffa;Europe Spain
Valencia;Valencia;Europe Spain
Nagoya;Nagoya;Japan
Osaka;Osaka;Japan
Sapporo Shin Chitose;Sapporo Shin Chitose;Japan
Tokio Haneda;Tokio;Japan
Tokio Narita;Tokio;Japan
Belem;Belem;Karibik
Boa Vista Kap Verde;Kap Verde;Karibik
Cancun;Cancun;Karibik
Fort de France;Fort de France;Karibik
Grenada;Grenada;Karibik
Havanna;Havanna;Karibik
Liberia Costa Rica;Liberia Costa Rica;Karibik
